evidence_id,source_title,source_owner,source_type,evidence_level,url,published_at,known_at,observed_at,point_in_time_status,claim,support_scope,exclusion,related_node_ids,related_entity_names,geography,status,conflict_ids,review_due,notes
EV012,Parker UQD Series – Universal Quick Disconnect Couplings,Open Compute Project / Parker Hannifin,standard_product_directory,A,https://www.opencompute.org/products/443/parker-uqd-series-universal-quick-disconnect-couplings,,,2026-08-28T00:30:00+08:00,current_page_needs_archive_confirmation,Parker offers OCP-inspired UQD couplings for servers and supercomputers.,Confirms another established fluid-connectivity supplier in the standardized connector ecosystem.,Does not prove customer wins or scale.,N04,"Parker Hannifin,OCP",global,active,,2026-11-30,Undated product directory; point-in-time archive confirmation required.
EV013,Amphenol Industrial Blind Mate Quick Disconnect (BMQC) Series,Open Compute Project / Amphenol,standard_product_directory,A,https://www.opencompute.org/products/701/amphenol-industrial-blind-mate-quick-disconnect-bmqc-series,,,2026-08-28T00:30:00+08:00,current_page_needs_archive_confirmation,Amphenol provides an OCP Open Rack V3 blind-mate quick connector designed for alignment tolerance and leak-tested operation.,"Confirms blind-mate alignment, leakage and lifecycle are separate qualification dimensions.",Does not prove volume deployment or exclusive supply.,N04,"Amphenol,OCP",global,active,,2026-11-30,Undated product directory; point-in-time archive confirmation required.
EV014,Georg Fischer LiquidCore In-rack Manifold,Open Compute Project / Georg Fischer,standard_product_directory,A,https://www.opencompute.org/products/785/georg-fischer-liquidcore-in-rack-manifold,,,2026-08-28T00:30:00+08:00,current_page_needs_archive_confirmation,The in-rack manifold distributes coolant evenly to server trays under high loads and links to an OCP rack-manifold qualification guideline.,Confirms manifold flow balance is an independently specified and qualified node.,Does not prove order scale or that polymer manifolds dominate all designs.,N05,"Georg Fischer,OCP",global,active,,2026-11-30,Undated product directory; point-in-time archive confirmation required.
EV015,COOLWAVE DC Heat Transfer Fluids,Open Compute Project / Dober,standard_product_directory,A,https://www.opencompute.org/products/792/coolwave-dc-heat-transfer-fluids,,,2026-08-28T00:30:00+08:00,current_page_needs_archive_confirmation,"OCP-listed PG25 fluid is formulated for DTC loops, mixed-metal compatibility, corrosion protection, leak visibility and annual fluid testing.","Confirms fluid chemistry, corrosion control and lifecycle testing are independent operating nodes.",Does not prove long-term field performance for every loop or supplier economics.,"N14,N18,N29","Dober,OCP",global,active,,2026-11-30,Undated product directory; point-in-time archive confirmation required.
EV016,Dynalene PG-D25 Data Center DTC Heat Transfer Fluid,Open Compute Project / Dynalene,standard_product_directory,A,https://www.opencompute.org/products/789/dynalene-pg-d25-propylene-glycol-based-data-center-dtc-heat-transfer-fluid-pg-25,,,2026-08-28T00:30:00+08:00,current_page_needs_archive_confirmation,Dynalene offers formulated PG-water coolant with multi-metal corrosion and biological protection for DTC cooling.,Confirms multiple fluid suppliers and compatibility requirements.,"Does not prove orders, price power or universal compatibility.","N14,N18,N29","Dynalene,OCP",global,active,,2026-11-30,Undated product directory; point-in-time archive confirmation required.
EV017,STULZ Deschutes CDU – CyberCool,Open Compute Project / STULZ,standard_product_directory,A,https://www.opencompute.org/products/734/stulz-deschutes-cdu-cybercool-liquid-cooling-distribution-unit,,,2026-08-28T00:30:00+08:00,current_page_needs_archive_confirmation,"STULZ offers a 2 MW Deschutes-based CDU with redundant power, sealless pumps and fine filtration.","Confirms large CDUs combine heat exchange, pumps, filtration, controls and redundancy, rather than being a single-component box.",Does not prove installed base or margin.,"N08,N09,N10,N11,N12,N13","STULZ,OCP",global,active,,2026-11-30,Undated product directory; point-in-time archive confirmation required.
EV018,Eaton ROL4000 Deschutes CDU,Open Compute Project / Eaton-Boyd,standard_product_directory,A,https://www.opencompute.org/products/728/boyd-rol4000-48u65-deschutes-cdu,,,2026-08-28T00:30:00+08:00,current_page_needs_archive_confirmation,"Eaton/Boyd offers a 2 MW Deschutes-inspired CDU with N+1 pumps, redundant power and side-stream filtration.",Confirms the emergence of open high-capacity CDU specifications and multiple system suppliers.,Does not prove market share or customer acceptance beyond listed capability.,"N08,N09,N10,N11,N12,N13","Eaton,Boyd,OCP",global,active,,2026-11-30,Undated product directory; point-in-time archive confirmation required.
EV019,Liquid-cooling blind-mate quick-connect report released,ODCC / CAICT / GCC,industry_standard_report,A,https://www.odcc.org.cn/news/p-1878693462348242946.html,2025-01-13,2025-01-13,2026-08-28T00:30:00+08:00,confirmed_before_as_of,ODCC and GCC released a dedicated report stating blind-mate quick connectors are critical to cold-plate liquid-cooling safety and reliability and face decoupling/interoperability challenges.,Confirms connectors are a key interface bottleneck under active standardization.,Does not prove that any participant is a qualified supplier or has orders.,N04,"ODCC,CAICT,GCC",China,active,,2026-11-30,
EV020,Liquid Cooling Blind-Mate Quick Connector Development Research Report,China Academy of Information and Communications Technology,industry_report,A,https://www.caict.ac.cn/kxyj/qwfb/bps/202501/t20250113_494833.htm,2025-01-13,2025-01-13,2026-08-28T00:30:00+08:00,confirmed_before_as_of,"CAICT report describes cold-plate liquid cooling as attractive for reliability, maintenance and retrofit while highlighting blind-mate connector decoupling issues.",Supports route maturity and the interface-standard risk.,Does not prove individual supplier relationships.,"N02,N04,N28",CAICT,China,active,,2026-11-30,
EV021,Motivair MCDU-70 2.5 MW CDU,Schneider Electric,official_press_release,B,https://www.se.com/ww/en/about-us/newsroom/news/press-releases/schneider-electric-launches-industry-leading-2-5-mw-cdu-to-meet-ai-factory-cooling-demands-696f3ac77f8e15c4b70e2b1d,2026-01-20,2026-01-20,2026-08-28T00:30:00+08:00,confirmed_before_as_of,Schneider/Motivair launched a 2.5 MW CDU and described architectures scaling beyond individual rack units to multi-MW centralized deployments.,Confirms commercial high-capacity CDU products and system scaling.,"Vendor release does not prove third-party performance, installed base or margins.","N08,N09,N10,N11,N12,N13","Schneider Electric,Motivair",global,active,,2026-11-30,
EV022,Schneider Electric end-to-end liquid cooling portfolio,Schneider Electric,official_press_release,B,https://www.se.com/ww/en/about-us/newsroom/news/press-releases/schneider-electric-unveils-end-to-end-liquid-cooling-portfolio-for-ai-factories-68d9f3e30e500cf825e2e381,2025-09-29,2025-09-29,2026-08-28T00:30:00+08:00,confirmed_before_as_of,"Schneider described an end-to-end portfolio spanning cold plates, CDUs, rear-door heat exchangers, chillers and technology cooling loops.","Confirms system vendors can internalize multiple layers, shifting value away from standalone component suppliers.",Does not prove every layer is proprietary or profitable.,"N02,N08,N17,N19,N20,N23,N28",Schneider Electric,global,active,,2026-11-30,
EV023,Vertiv CoolChip CDU family,Vertiv,official_product_page,B,https://www.vertiv.com/en-asia/products-catalog/thermal-management/rack-cooling/liebert-xdu-coolant-distribution-units2/,,,2026-08-28T00:30:00+08:00,current_page_needs_archive_confirmation,"Vertiv lists liquid-to-air and liquid-to-liquid CDUs with pumps, heat exchangers, filters, redundant components, controls and leak detection.",Confirms commercial CDU capability and system cleanliness/redundancy requirements.,"Undated product page does not establish as-of installed base, order scale or margin.","N08,N09,N10,N11,N12,N13,N23",Vertiv,global,active,,2026-11-30,Undated live product page; use as capability lead pending archive confirmation.
EV024,Airedale 1 MW CDU,Modine / Airedale,official_press_release,B,https://www.airedale.com/2025/06/03/airedale-launches-1mw-cdu-to-meet-ai-liquid-cooling-demand/,2025-06-03,2025-06-03,2026-08-28T00:30:00+08:00,confirmed_before_as_of,Airedale launched a 1 MW CDU for high-density AI liquid cooling.,Confirms another scaled CDU supplier and increasing effective supply.,Does not prove deployment scale or differentiation.,"N08,N09,N10,N11,N12,N13","Modine,Airedale",global,active,,2026-11-30,
EV025,nVent liquid cooling CDU and manifolds,nVent,official_product_page,B,https://www.nvent.com/en-us/hoffman/products/coolant-distribution-units,,,2026-08-28T00:30:00+08:00,current_page_needs_archive_confirmation,"nVent offers CDUs, manifolds and associated monitoring/leak-management for liquid-cooled data centers.",Confirms rack distribution and system integration are served by established enclosure/infrastructure vendors.,Undated product page does not prove orders or economics.,"N05,N06,N07,N08,N23,N24",nVent,global,active,,2026-11-30,Undated live product page; use as capability lead pending archive confirmation.
EV026,CoolIT AHx180 and DTC liquid cooling solutions,CoolIT Systems,official_product_page,B,https://www.coolitsystems.com/ahx180,,,2026-08-28T00:30:00+08:00,current_page_needs_archive_confirmation,"CoolIT offers a liquid-to-air heat exchange unit supporting high-density rack deployments and an ecosystem of CDUs, manifolds and cold plates.",Confirms private specialist suppliers can cover multiple DTC nodes and retrofit routes.,"Undated vendor page does not prove customer identity, volume or profitability.","N02,N05,N08,N20,N24,N28",CoolIT Systems,global,active,,2026-11-30,Private company; current page requires point-in-time confirmation.
EV027,Eaton to acquire Boyd Thermal,Eaton,official_press_release,B,https://www.eaton.com/us/en-us/company/news-insights/news-releases/2026/eaton-to-acquire-boyd-thermal.html,2026-03-12,2026-03-12,2026-08-28T00:30:00+08:00,confirmed_before_as_of,"Eaton announced an agreement to acquire Boyd Thermal, expanding from power infrastructure toward chip-to-facility thermal management.",Supports profit-pool convergence and strategic value of integrated grid-to-chip offerings.,"Acquisition announcement and seller forecasts do not prove future integration, orders or margins.","N02,N08,N10,N24,N28","Eaton,Boyd",global,active,,2026-11-30,
EV028,B3-260C plate heat exchanger for data centers,Danfoss,official_press_release,B,https://www.danfoss.com/en/about-danfoss/news/dhs/danfoss-launches-high-capacity-b3-260c-plate-heat-exchanger-for-data-center-liquid-cooling/,2026-02-09,2026-02-09,2026-08-28T00:30:00+08:00,confirmed_before_as_of,Danfoss launched a plate heat exchanger aimed at up to 1 MW data-center liquid-cooling duty with low approach temperature and pressure drop.,"Confirms heat exchangers are being specialized for data-center duty, but remain a multi-supplier component class.",Does not prove CDU-level qualification or customer adoption.,N10,Danfoss,global,active,,2026-11-30,
EV029,Data center cooling heat exchangers,Alfa Laval,official_product_page,B,https://www.alfalaval.com/industries/hvac/data-center-cooling/,,,2026-08-28T00:30:00+08:00,current_page_needs_archive_confirmation,Alfa Laval markets plate heat exchangers for data-center cooling and liquid loops.,Confirms established heat-exchanger suppliers are entering/serving the node.,Undated product page does not prove AI-specific revenue or order scale.,"N10,N19",Alfa Laval,global,active,,2026-11-30,Undated live product page; use as capability lead pending archive confirmation.
EV030,"Data center valves, actuators and sensors",Belimo,official_product_page,B,https://www.belimo.com/us/en_US/solutions/data-centers,,,2026-08-28T00:30:00+08:00,current_page_needs_archive_confirmation,"Belimo offers control valves, actuators, sensors and metering for data-center water systems.",Confirms valves/sensors/control are independent nodes affecting flow balance and monitoring.,Does not prove DTC loop qualification or order scale.,"N06,N07,N13,N17",Belimo,global,active,,2026-11-30,Undated live product page; use as capability lead pending archive confirmation.
EV031,PowerEdge XE9680L liquid-cooled AI server,Dell Technologies,official_product_page,B,https://www.dell.com/en-us/shop/ipovw/poweredge-xe9680l,,,2026-08-28T00:30:00+08:00,current_page_needs_archive_confirmation,"Dell offers a 4U platform with liquid-cooled CPUs, GPUs and NVLink switches for high-density AI systems.","Confirms server OEM integration, internal cold plates and rack-side interfaces are commercial system-design responsibilities.",Does not disclose component suppliers or order volume.,"N01,N02,N03,N04,N23",Dell Technologies,global,active,,2026-11-30,Undated live product page; use as capability lead pending archive confirmation.
EV032,HPE 100% fanless direct liquid cooling architecture,Hewlett Packard Enterprise,official_press_release,B,https://www.hpe.com/us/en/newsroom/press-kit/2024/hpe-unveils-industrys-first-100-fanless-direct-liquid-cooling-systems-architecture.html,2024-10-10,2024-10-10,2026-08-28T00:30:00+08:00,confirmed_before_as_of,"HPE described a fanless direct-liquid architecture spanning GPU, CPU, server blade, storage, network, rack, pod and CDU.",Confirms server/system vendors can integrate multiple cooling layers and reduce air-cooling dependence.,Does not prove broad deployment or component supplier economics.,"N01,N02,N03,N04,N05,N08,N23",HPE,global,active,,2026-11-30,
EV033,Lenovo Neptune liquid cooling,Lenovo,official_product_page,B,https://www.lenovo.com/us/en/servers-storage/neptune-liquid-cooling/,,,2026-08-28T00:30:00+08:00,current_page_needs_archive_confirmation,Lenovo markets Neptune direct-water cooling and integrated high-density systems.,Confirms OEM-owned cooling architecture and customer self-design/qualification risk for external suppliers.,Undated product page does not prove current market share or individual component vendors.,"N01,N02,N03,N04,N05,N08,N23",Lenovo,global,active,,2026-11-30,Undated live product page; use as capability lead pending archive confirmation.
EV034,GigaModular CDU platform up to 14 MW,LiquidStack / Trane Technologies,official_press_release,B,https://liquidstack.com/news/liquidstack-gigamodular-cdu-platform-is-now-commercially-available-with-expanded-14-mw-capacity,2026-05-21,2026-05-21,2026-08-28T00:30:00+08:00,confirmed_before_as_of,LiquidStack announced commercial availability of a modular CDU platform scaling to 14 MW.,Confirms rapid CDU scaling and potential supply expansion/normalization.,"Does not prove orders, installed base or economics.","N08,N09,N10,N11,N12,N13,N24","LiquidStack,Trane Technologies",global,active,,2026-11-30,
EV035,LiquidStack DataTank 48U two-phase immersion,LiquidStack,official_product_page,B,https://liquidstack.com/liquid-cooling/datatank-48u,,,2026-08-28T00:30:00+08:00,current_page_needs_archive_confirmation,LiquidStack offers two-phase immersion tanks for full-scale deployments.,Confirms two-phase immersion is a commercial alternative route.,"Undated product page does not prove adoption share, fluid availability or total lifecycle cost.","N21,N22,N33",LiquidStack,global,active,,2026-11-30,Current product page; point-in-time archive confirmation required.
EV036,ICEraQ immersion cooling systems,GRC,official_product_page,B,https://www.grcooling.com/iceraq/,,,2026-08-28T00:30:00+08:00,current_page_needs_archive_confirmation,"GRC offers single-phase immersion systems integrating racks, CDU, plumbing and sensors.",Confirms single-phase immersion is a commercial integrated alternative.,Vendor claims do not prove comparative field economics or market share.,"N21,N33",GRC,global,active,,2026-11-30,Current product page; point-in-time archive confirmation required.
EV037,ZutaCore two-phase direct-to-chip cooling,ZutaCore,official_product_page,B,https://zutacore.com/solutions,,,2026-08-28T00:30:00+08:00,current_page_needs_archive_confirmation,ZutaCore offers waterless two-phase direct-to-chip cooling with rack and end-of-row distribution.,Confirms two-phase DTC is an active alternative architecture with different fluid and hardware requirements.,Vendor claims do not prove broad customer adoption or superior lifecycle cost.,"N02,N08,N15,N22,N34",ZutaCore,global,active,,2026-11-30,Current product page; point-in-time archive confirmation required.
EV038,Meta Air-Assisted Liquid Cooling design,Meta,engineering_blog,A,https://engineering.fb.com/2022/10/18/open-source/ocp-summit-2022-grand-teton/,2022-10-18,2022-10-18,2026-08-28T00:30:00+08:00,confirmed_before_as_of,Meta contributed an air-assisted liquid cooling design alongside Open Rack and AI hardware.,Confirms hybrid routes and customer-owned designs can coexist with full liquid cooling.,Does not prove current commercial dominance.,"N20,N31,N35",Meta,global,active,,2026-11-30,
EV039,Envicool in-rack CDU,Envicool,official_product_page,B,https://www.envicool.com/productinfo543.html,,,2026-08-28T00:30:00+08:00,current_page_needs_archive_confirmation,"Envicool lists a CDU integrating pumps, plate heat exchanger, valves, expansion tank, filtration, controls and leak detection.",Confirms a Chinese listed-company capability lead across CDU subsystems.,"Product page does not prove customer identity, orders, revenue or margins.","N08,N09,N10,N11,N12,N13,N23","英维克,Envicool",China,active,,2026-11-30,A-share code and point-in-time page availability to be confirmed by Codex A2.
EV040,Envicool integrated liquid-cooled rack,Envicool,official_product_page,B,https://www.envicool.com/productinfo69.html,,,2026-08-28T00:30:00+08:00,current_page_needs_archive_confirmation,"Envicool lists an integrated rack with CDU, UQD, manifold, leak detection and coolant using standard interfaces.","Confirms capability across rack integration, connectors and distribution.","Does not prove orders, volume, customer qualification or financial importance.","N04,N05,N07,N08,N14,N23,N24","英维克,Envicool",China,active,,2026-11-30,A-share code and point-in-time page availability to be confirmed by Codex A2.
EV041,Shenling liquid cooling CDU,Guangdong Shenling,official_product_page,B,https://www.shenling.com/products/%E6%B6%B2%E5%86%B7cdu/,,,2026-08-28T00:30:00+08:00,current_page_needs_archive_confirmation,"Shenling lists 200-1800 kW CDUs supporting cold-plate, immersion and spray cooling for AI/data centers.",Confirms a Chinese listed-company CDU and multi-route capability lead.,"Does not prove customer orders, revenue contribution or margins.","N08,N09,N10,N11,N12,N13","申菱环境,Guangdong Shenling",China,active,,2026-11-30,A-share code and point-in-time page availability to be confirmed by Codex A2.
EV042,Shenling integrated liquid cooling system,Guangdong Shenling,official_product_page,B,https://www.shenling.com/products/%E6%B6%B2%E5%86%B7%E5%A4%A7%E7%B3%BB%E7%BB%9F/,,,2026-08-28T00:30:00+08:00,current_page_needs_archive_confirmation,"Shenling presents an integrated system spanning outdoor source, primary distribution, CDU, secondary distribution, manifold and terminal air/controls.",Confirms end-to-end system integration capability.,"Does not prove project wins, component self-production or business scale.","N05,N08,N17,N19,N20,N23,N24,N28","申菱环境,Guangdong Shenling",China,active,,2026-11-30,A-share code and point-in-time page availability to be confirmed by Codex A2.
EV043,C7000 cold-plate/hybrid liquid cooling system,Sugon Data Creation,official_product_page,B,https://www.sugon.com/product/483.html,,,2026-08-28T00:30:00+08:00,current_page_needs_archive_confirmation,Sugon offers a cold-plate/hybrid liquid cooling system for data centers.,Confirms a Chinese system-equipment and integration lead.,"Does not establish current legal entity, listing code, orders or financial impact.","N01,N02,N03,N04,N05,N08,N23,N28,N31","曙光数创,中科曙光",China,active,,2026-11-30,Entity ownership/listing mapping and page archive to be confirmed by Codex A2.
EV044,C8000 immersion liquid cooling system,Sugon Data Creation,official_product_page,B,https://www.sugon.com/product/482.html,,,2026-08-28T00:30:00+08:00,current_page_needs_archive_confirmation,Sugon offers an immersion system with high rack power capability.,Confirms Chinese commercial immersion capability.,"Does not prove deployed scale, route share or profitability.","N21,N33","曙光数创,中科曙光",China,active,,2026-11-30,Entity ownership/listing mapping and page archive to be confirmed by Codex A2.
EV045,FRD liquid cold plate product,FRD,official_product_page,B,https://www.frd.cn/pro.aspx,2024-07-29,2024-07-29,2026-08-28T00:30:00+08:00,confirmed_before_as_of,FRD lists liquid cold plates and thermal-interface materials among its thermal-management products.,Confirms product/capability lead at cold plate and TIM nodes.,"Does not prove AI data-center use, customer qualification, orders or scale.","N02,N03","飞荣达,FRD",China,active,,2026-11-30,A-share identity is shown on company website; node-specific commercial relation still unverified.
EV046,Canatal high-density data-center cooling products,Canatal,official_product_page,B,https://www.canatal.com.cn/products_details/45.html,,,2026-08-28T00:30:00+08:00,current_page_needs_archive_confirmation,Canatal offers high-capacity chilled-water wall cooling for data centers and related facility cooling products.,Confirms facility-side and hybrid cooling capability lead.,Does not prove direct-to-chip liquid cooling capability or AI-specific revenue.,"N17,N19,N20,N35","佳力图,Canatal",China,active,,2026-11-30,A-share identity and any direct-liquid product must be confirmed by Codex A2.
EV047,Gaolan data-center liquid cooling product scope,Gaolan,investor_relations_secondary_copy,D,https://finance.sina.com.cn/jjxw/2024-05-14/doc-inavestk1316426.shtml,2024-05-14,2024-05-14,2026-08-28T00:30:00+08:00,confirmed_before_as_of,"A reproduced investor-relations summary says Gaolan has cold-plate and immersion solutions including cold plates, fluid connectors, CDUs, tanks and heat-exchange units.",Discovery lead for multiple Chinese liquid-cooling nodes.,"Secondary reproduction and company statements do not prove orders, customers or scale; official original must be retrieved.","N02,N04,N08,N21,N33","高澜股份,Gaolan",China,lead_only,,2026-09-30,
EV048,Tongfei data-center liquid cooling product scope,Tongfei,interactive_platform_secondary_copy,D,https://www.nbd.com.cn/articles/2026-05-08/4383949.html,2026-05-08,2026-05-08,2026-08-28T00:30:00+08:00,confirmed_before_as_of,"A media reproduction of an interactive-platform response says Tongfei offers CDUs, manifolds, prefabricated piping, dry coolers, integrated plants and immersion tanks.",Discovery lead for system/CDU/manifold/facility/immersion nodes.,"Interactive-platform statement and media copy do not prove customer qualification, orders, revenue or scale.","N05,N08,N17,N19,N21,N24,N33","同飞股份,Tongfei",China,lead_only,,2026-09-30,
EV049,Blind-mate quick-connect report participant / liquid cooling ecosystem,ODCC / industry participants,industry_standard_report,C,https://www.odcc.org.cn/news/p-1878693462348242946.html,2025-01-13,2025-01-13,2026-08-28T00:30:00+08:00,confirmed_before_as_of,"The blind-mate quick-connect report was compiled by users, vendors and research institutions, creating a discovery path for Chinese connector participants.",Supports discovery of Chinese connector ecosystem participants for A2 mapping.,"Participation does not prove product qualification, supply, orders or scale.",N04,中航光电及其他参编单位,China,lead_only,,2026-11-30,
EV050,FusionPoD rack-scale liquid-cooled server,xFusion,official_product_page,B,https://www.xfusion.com/cn/product/rack-scale-servers/fusionserver-fusionpod,,,2026-08-28T00:30:00+08:00,current_page_needs_archive_confirmation,xFusion offers a 100% liquid-cooled rack-scale server with blind-mate power/network/liquid buses.,"Confirms Chinese server-OEM integration, blind-mate interfaces and rack delivery capability.","Does not disclose component suppliers, orders or margins.","N01,N02,N03,N04,N05,N08,N23,N24","超聚变,xFusion",China,active,,2026-11-30,Private entity identity and page archive to be confirmed by Codex A2.
EV051,KunLunPoD rack-scale liquid-cooled server,Henan Kunlun Technology,official_product_page,B,https://www.kunlunit.com/product/server/kunlunpod,,,2026-08-28T00:30:00+08:00,current_page_needs_archive_confirmation,KunLunPoD is a full-liquid rack-scale server platform with integrated power/network/liquid buses.,Confirms another Chinese OEM/private system lead and customer self-design risk.,"Does not disclose component suppliers, deployment scale or economics.","N01,N02,N03,N04,N05,N08,N23,N24","河南昆仑技术,Kunlun",China,active,,2026-11-30,Private entity identity and page archive to be confirmed by Codex A2.
