formation_date,action_date,ts_code,name,final_fate,priority,opportunity_type,selection_reason,strongest_counterevidence,counterevidence_status,resolution_evidence,nearest_comparison,future_hit_20pct_within_20d,first_hit_day,max_close_return_20d,terminal_return_20d
2025-09-24,2025-09-25,600605.SH,汇通能源,selected,1.000000,independent_price_anomaly,5日相对市场约+7.9%、相对行业约+11.3%，5日连续性100%；成交约为此前1.74倍，60日位置35.2%。,尚未突破此前60日高点，绝对强度不算突出。,resolved,低位置、连续相对增强和成交激活共同说明这是早期路径，而不是单日脉冲。,优于海波重科：连续性更完整；优于兄弟科技：剩余价格位置更好。,0,,-0.019608,-0.120728
2025-09-24,2025-09-25,002562.SZ,兄弟科技,nearest_nonselection,,company_catalyst,业绩预告净利润同比约+230%，披露后4日上涨约5.8%。,60日位置100%，形成日前后均已上涨。,unresolved,业绩变化没有化解高位置和已经交易数日的透支。,比P1汇通能源的剩余路径更差。,0,,0.096904,-0.084791
2025-09-24,2025-09-25,603931.SH,格林达,nearest_nonselection,,sector_diffusion,电子化学品板块上涨面95.2%、连续4日增强，个股板块排名76.2%。,60日位置100%，板块5日已跑赢市场约11%。,unresolved,共同动力强，但没有低位置或相对同类的充分剩余空间。,相比P1汇通能源，更依赖已经拥挤的共同上涨。,0,,0.024254,-0.013438
2025-09-24,2025-09-25,300517.SZ,海波重科,nearest_nonselection,,independent_price_anomaly,3日和5日相对行业约+5.0%、+7.5%，60日位置42.6%。,仅3个上涨日、相对强度明显弱于P1，尚未突破。,unresolved,低位置无法化解持续性和强度不足。,直接弱于P1汇通能源的连续性。,0,,0.115833,0.020000
2025-10-16,2025-10-17,002940.SZ,昂利康,selected,1.000000,independent_price_anomaly,3日和5日相对行业约+11.8%、+15.6%，成交约为此前3.87倍，推进效率较高，60日位置23.4%。,最近5日上影与冲高回落频率均为40%。,unresolved,低位置和成交推进降低风险，但反复冲高回落没有被直接事实完全化解。,仍优于赛升药业：强度和推进效率更高；优于宗申动力：已有价格确认。,0,,0.033910,0.027451
2025-10-16,2025-10-17,001696.SZ,宗申动力,selected,2.000000,company_catalyst,当日业绩预告净利润约6.65—7.82亿元、同比约+85%；披露前5日-3.2%，60日位置27.1%。,形成日刚披露，尚无事件后的市场识别。,unknown,低位置和材料性支持研究，但是否被市场认可只能等行动日观察。,优于泰山石油：利润规模更大、成交未明显萎缩；跨类型排在已有价格确认的昂利康之后。,0,,-0.003331,-0.047460
2025-10-16,2025-10-17,000554.SZ,泰山石油,nearest_nonselection,,company_catalyst,当日业绩预告利润同比约+106%，60日位置29.2%。,成交只有此前约0.81倍，且没有事件后价格反应。,unknown,缺少市场识别，不能确认事件材料性会转成上涨路径。,比P2宗申动力利润规模和交易确认都弱。,0,,0.065173,0.059206
2025-10-16,2025-10-17,600415.SH,小商品城,nearest_nonselection,,independent_price_anomaly,3日和5日相对行业约+7.6%、+7.0%，60日位置36.7%。,相对强度、成交激活和推进效率都低于P1。,unresolved,低位置不足以弥补增量强度不够。,直接弱于P1昂利康。,0,,-0.035536,-0.167668
2025-10-16,2025-10-17,601319.SH,中国人保,nearest_nonselection,,sector_diffusion,保险板块连续3日增强、5日跑赢市场约9.1%。,个股5日只跑赢板块约0.4%，不足以支持显著上涨路径。,unresolved,板块强不能化解具体成员缺少增量。,相比P2宗申动力，缺少公司变化；相比P1昂利康，缺少个股增量。,0,,0.044549,0.044549
2025-11-13,2025-11-14,002940.SZ,昂利康,selected,1.000000,sector_diffusion,化学制药连续5日增强，个股板块内排名97.5%、5日跑赢板块约9.8%，60日位置43.2%。,与最接近同类的综合推进效率比较并非全面占优。,resolved,个股5日收益差仍领先近似同类约12.2个百分点，板块排名和低位置共同化解单项效率劣势。,优于健康元：个股相对板块增量更清楚；优于腾龙股份：有板块共同动力。,0,,0.068182,-0.164871
2025-11-13,2025-11-14,603158.SH,腾龙股份,selected,2.000000,independent_price_anomaly,3日和5日相对行业约+10.2%、+10.7%，成交约为此前3.45倍，60日位置24.9%。,上影和冲高回落频率均为40%，且尚未真实突破。,unresolved,低位置和成交激活提供剩余路径，但价格质量反证仍没有完全消失。,优于朗博科技：涨停贡献和冲高回落更低；跨类型排在板块证据更完整的昂利康之后。,0,,0.041145,-0.131485
2025-11-13,2025-11-14,600380.SH,健康元,nearest_nonselection,,sector_diffusion,化学制药连续5日增强，60日位置42.2%、流动性充足。,5日只跑赢板块约0.7%，具体成员优势不足。,unresolved,板块共同上涨不能替代个股增量。,明显弱于P1昂利康的板块内排名和相对收益。,0,,0.007137,-0.010309
2025-11-13,2025-11-14,603655.SH,朗博科技,nearest_nonselection,,independent_price_anomaly,5日相对行业约+14.2%，60日位置38.3%。,上影和冲高回落频率均为60%，涨停贡献约74.6%。,unresolved,价格质量和涨停依赖没有被化解。,比P2腾龙股份的连续性和推进质量差。,0,,0.107474,-0.079897
2025-11-13,2025-11-14,603612.SH,索通发展,nearest_nonselection,,company_catalyst,财务报告收入+28.7%、利润+201.8%、现金流+1241.5%。,披露后已涨23.4%，60日位置100%。,unresolved,公司结果强，但价格透支未化解。,相比P2腾龙股份，剩余路径更差。,0,,-0.036573,-0.209956
2025-12-11,2025-12-12,600353.SH,旭光电子,selected,1.000000,independent_price_anomaly,3日和5日相对行业约+10.3%、+14.0%，5日全部上涨，成交约为此前4.04倍，60日位置40.5%。,尚未突破此前60日高点，短期增量仍属早期。,resolved,5日连续推进、成交激活且没有涨停贡献，说明低位路径正在形成而非末日脉冲。,优于昭衍新药：上影和回落更少；优于精测电子：无需等待合同材料性补证。,0,,0.129854,0.118932
2025-12-11,2025-12-12,603127.SH,昭衍新药,nearest_nonselection,,independent_price_anomaly,3日和5日相对行业约+13.6%、+12.8%，60日位置25.9%。,上影60%、冲高回落40%，价格推进反复。,unresolved,低位置未能化解反复回落。,价格质量明显弱于P1旭光电子。,1,15,0.349760,0.292160
2025-12-11,2025-12-12,300567.SZ,精测电子,nearest_nonselection,,company_catalyst,形成日前1日披露日常经营重大合同，披露后约+2.2%。,现有形成日记录没有合同金额和对公司体量的材料性。,unknown,缺少正文关键条款，不能确认传导规模。,相比P1旭光电子，关键公司因果仍是未知。,1,15,0.433037,0.433037
2025-12-11,2025-12-12,600118.SH,中国卫星,nearest_nonselection,,sector_diffusion,航天装备2日共同增强，个股板块排名第一。,板块上涨面斜率已经转负，个股60日位置100%。,unresolved,共同动力收窄和高位置都没有被化解。,相比P1旭光电子，板块路径更拥挤且内部稳定性更差。,1,7,1.217871,1.217871
2026-01-12,2026-01-13,603334.SH,丰倍生物,selected,1.000000,independent_price_anomaly,3日和5日相对行业约+11.7%、+13.4%，5日连续性100%、成交约为此前4.25倍，60日位置31.6%。,形成日当天相对强势接近停顿，可能是连续增强开始钝化。,resolved,5日全部上涨、相对强势斜率仍正、成交连续放大且位置低，说明不是单日脉冲。,优于海航科技和国联水产：相对增量更强、更连续。,1,18,0.213175,0.199468
2026-01-12,2026-01-13,300094.SZ,国联水产,selected,2.000000,independent_price_anomaly,5日相对市场约+9.5%、相对行业约+6.0%，4日上涨，成交约为此前1.91倍，60日位置37.1%。,市场近5日普涨，个股超额幅度低于P1。,resolved,形成日仍跑赢行业、低位置且成交激活，足以证明不只是跟随普涨。,优于海航科技：相对市场和行业增量更大；排在P1丰倍生物之后。,0,,-0.029126,-0.036408
2026-01-12,2026-01-13,600751.SH,海航科技,nearest_nonselection,,independent_price_anomaly,5日相对行业约+6.7%，5日上涨、60日位置34.6%。,普涨环境下增量偏小，成交仅约为此前1.64倍。,unresolved,低位置不能化解独立性不足。,弱于P2国联水产的相对市场增量。,0,,0.043062,0.043062
2026-01-12,2026-01-13,002821.SZ,凯莱英,nearest_nonselection,,sector_diffusion,医疗服务连续5日增强，候选流动性充足。,个股3日和5日均落后板块，不能代表共同动力。,unresolved,板块增强无法化解具体成员持续落后。,弱于P2国联水产的个股自身增量。,0,,0.027278,-0.013400
2026-01-12,2026-01-13,600435.SH,北方导航,nearest_nonselection,,company_catalyst,业绩预告利润同比约+111.7%。,披露前已涨34.1%、披露后再涨5.8%，60日位置100%。,unresolved,新事件没有化解已经充分交易。,相比P1和P2，剩余价格路径明显更差。,0,,-0.076490,-0.204130
2026-02-02,2026-02-03,600550.SH,保变电气,selected,1.000000,company_catalyst,业绩预告净利润约1.82亿元、同比约+89%；弱市中披露后上涨约10%。,60日位置90.5%，披露后成交只有此前约0.63倍，事件材料性相对有限。,unresolved,弱市价格反应支持命题，但高位置、缩量和材料性反证没有被直接事实化解。,仍优于双杰电气：位置和事件后涨幅稍低；优于三夫户外：利润绝对规模更大。,1,17,0.200631,0.184858
2026-02-02,2026-02-03,002780.SZ,三夫户外,selected,2.000000,company_catalyst,业绩预告净利润约4500—6750万元、同比约+361.7%；披露后+10.0%，成交约为此前3.46倍，60日位置45.4%。,利润绝对规模不大，较高增速可能受低基数影响。,resolved,利润中值约占形成日市值2%，且事件后放量推进、位置不高，足以缓解低基数材料性担忧。,优于双杰电气：价格位置更低、成交确认更强；排在利润规模更大的保变电气之后。,0,,0.058465,-0.034105
2026-02-02,2026-02-03,300444.SZ,双杰电气,nearest_nonselection,,company_catalyst,业绩预告利润同比约+128.8%，披露后上涨16.6%。,60日位置96.2%，事件后涨幅已经很大且成交未放大。,unresolved,市场识别过快但没有剩余路径事实。,比P1保变电气和P2三夫户外更透支。,1,19,0.219610,0.183345
2026-02-02,2026-02-03,601869.SH,长飞光纤,nearest_nonselection,,independent_price_anomaly,5日相对行业约+30.0%，5日连续上涨且流动性好。,60日位置100%，5日超额已经很大。,unresolved,连续性不能化解高位置和已消耗的路径。,相比P2三夫户外，缺少新的公司事实且更透支。,1,5,0.515125,0.456875
2026-02-02,2026-02-03,600015.SH,华夏银行,nearest_nonselection,,sector_diffusion,股份制银行形成日上涨面77.8%，个股位置较低。,板块仅增强1日，个股5日超额约1.1%，不足以支持目标幅度。,unresolved,低位置不能替代共同动力持续性和成员增量。,比P2三夫户外缺少明确重估触发。,0,,0.076205,0.076205
2026-03-10,2026-03-11,603659.SH,璞泰来,selected,1.000000,company_catalyst,财务报告收入+16.8%、利润+98.1%、现金流+13.7%；披露前-6.4%、披露后+7.0%，成交约为此前2.15倍，60日位置64.7%。,利润增速明显高于收入和现金流，持续性仍需观察。,resolved,收入与现金流均为正、利润约占市值3.9%，且事件后放量推进，足以化解纯低基数解释。,优于山金国际：利润改善幅度和事件后成交确认更强。,1,13,0.203509,0.105263
2026-03-10,2026-03-11,000975.SZ,山金国际,selected,2.000000,company_catalyst,财务报告收入+25.9%、利润+36.7%、现金流+20.9%；披露后+6.8%，5日跑赢贵金属约8.1%，60日位置64.1%。,贵金属共同上涨可能解释部分价格反应。,resolved,收入、利润、现金流一致，且个股继续跑赢行业，证明不只是板块跟涨。,虽利润弹性低于P1璞泰来，但公司质量和行业超额都完整。,0,,0.004545,-0.033939
2026-03-10,2026-03-11,301557.SZ,常友科技,selected,3.000000,independent_price_anomaly,3日和5日相对行业约+15.3%、+13.4%，4日上涨、5日成交持续增强，60日位置33.3%，无明显上影回落。,形成日单日相对增量只有约0.5%，短期推进速度放缓。,resolved,多日相对优势、持续成交激活和低位置说明路径仍完整，不依赖最后一天脉冲。,优于汇通能源：相对增量和成交持续性更强；跨类型排在两个直接公司结果之后。,0,,-0.001083,-0.080686
2026-03-10,2026-03-11,002212.SZ,天融信,nearest_nonselection,,sector_diffusion,软件开发上涨面89%、连续4日增强，个股5日跑赢板块约6.4%、位置45.7%。,与最接近同类的综合比较没有真正胜出。,unresolved,板块和个股均强，但缺少对近似同类的不对称优势。,因此没有替代P3常友科技。,0,,-0.030501,-0.178649
2026-03-10,2026-03-11,300515.SZ,三德科技,nearest_nonselection,,company_catalyst,业绩快报披露后约+2.7%，60日位置47.3%。,现有结构化快报把利润绝对值误作变化率，无法可靠判断材料性。,unknown,关键公司变化口径不可靠。,比P2山金国际缺少可解释的收入、利润和现金流一致性。,0,,-0.009401,-0.090054
2026-03-10,2026-03-11,600605.SH,汇通能源,nearest_nonselection,,independent_price_anomaly,5日相对行业约+7.0%、连续性100%，60日位置43.9%。,相对强度和成交持续性明显低于P3。,unresolved,低位置不能弥补比较劣势。,直接弱于P3常友科技。,0,,0.100704,-0.027465
2026-04-15,2026-04-16,000933.SZ,神火股份,selected,1.000000,company_catalyst,当日财务报告收入+28.8%、利润+223.3%、现金流+139.3%，利润约占市值3.0%，60日位置51.7%。,周期品利润高增长可能包含价格周期和低基数，持续性并非当然成立。,resolved,收入与经营现金流同步大幅改善，且价格位置居中，足以反驳只有会计利润或已经透支的解释。,优于锡业股份和东方电子：公司事实完整到收入、利润和现金流。,0,,0.023115,-0.158047
2026-04-15,2026-04-16,000960.SZ,锡业股份,selected,2.000000,company_catalyst,当日业绩预告净利润约8.2—9.2亿元、同比约+74.2%；披露前5日+1.9%，成交约为此前1.61倍，60日位置20.5%。,形成日刚披露，尚无公告后价格反应。,unknown,利润材料性和低位置成立，但市场识别要留到行动日。,优于东方电子：利润绝对规模更大、价格位置更低；排在完整财务报告的神火股份之后。,0,,0.188521,0.084658
2026-04-15,2026-04-16,000682.SZ,东方电子,selected,3.000000,company_catalyst,当日业绩预告净利润约2.31—2.41亿元、同比约+95.1%；披露前5日+4.9%，成交约为此前2.75倍，60日位置36.4%。,形成日刚披露，没有事件后的直接市场识别。,unknown,低位置与成交激活支持剩余路径，但公告后反应仍未知。,优于穗恒运A：成交和相对行业表现更强；排在利润规模更大的锡业股份之后。,0,,0.073643,0.060465
2026-04-15,2026-04-16,002683.SZ,广东宏大,selected,4.000000,independent_price_anomaly,3日和5日相对行业约+12.4%、+12.0%，4日上涨、价格推进效率较好，60日位置38.4%，无涨停贡献。,成交放大只有3日、尚未真实突破。,resolved,相对强势跨3—5日持续、低位置且成交增加后价格有效推进，足以区别末日脉冲。,优于陕西华达和亿田智能：上影回落更少；跨类型排在三个直接公司变化之后。,0,,-0.022524,-0.130623
2026-04-15,2026-04-16,000531.SZ,穗恒运A,nearest_nonselection,,company_catalyst,当日业绩预告利润同比约+95%，60日位置18.9%。,成交只有此前约0.46倍、5日落后电力行业，且没有公告后反应。,unknown,低位置存在，但市场是否识别完全未知。,弱于P3东方电子的成交激活和行业相对表现。,0,,0.139183,0.111952
2026-04-15,2026-04-16,002157.SZ,正邦科技,nearest_nonselection,,sector_diffusion,养殖板块连续3日增强，个股板块排名95.2%。,60日位置100%，且没有全面胜过最接近同类。,unresolved,共同动力不能化解成员透支。,相比P4广东宏大，剩余路径更差。,0,,0.017241,-0.045977
2026-04-15,2026-04-16,300911.SZ,亿田智能,nearest_nonselection,,independent_price_anomaly,3日和5日相对行业约+11.6%、+12.4%，60日位置28.5%。,仅2日上涨，上影和冲高回落频率均60%。,unresolved,低位置无法化解价格质量反复。,弱于P4广东宏大的连续性。,1,17,0.203659,0.040244
2026-05-11,2026-05-12,300303.SZ,聚飞光电,selected,1.000000,sector_diffusion,光学光电子连续5日增强、上涨面73.7%；个股板块排名88.2%、5日跑赢板块约9.7%，领先近似同类约12.7个百分点，60日位置67.3%。,市场近5日普涨约4.9%，板块增强可能包含共同风险偏好。,resolved,个股同时跑赢行业且直接超过近似同类，证明不只是参与普涨。,优于隆利科技：排名、相对行业收益和流动性更强；优于蓝思科技：有板块共同动力。,0,,0.024030,-0.090292
2026-05-11,2026-05-12,300433.SZ,蓝思科技,selected,2.000000,independent_price_anomaly,1日、3日、5日相对行业约+6.8%、+9.7%、+10.9%，4日上涨、成交约为此前2.12倍，60日位置44.3%，无明显上影回落。,市场普涨，部分绝对涨幅来自共同环境。,resolved,持续跑赢行业、流动性高、价格推进效率好且位置不高，足以证明个股增量。,优于太力科技：流动性和推进效率更高；排在板块因果更完整的聚飞光电之后。,1,5,0.507769,0.409587
2026-05-11,2026-05-12,300520.SZ,科大国创,selected,3.000000,independent_price_anomaly,5日相对行业约+9.4%、连续性100%、5日全部上涨，成交约为此前1.99倍，60日位置33.3%。,短窗口相对强度斜率低于P2，且有少量上影回落。,resolved,低位置、5日连续推进和成交激活说明仍是早期路径。,优于太力科技：连续性更完整；跨类型排在P1板块核心和P2高流动性独立异常之后。,0,,0.031795,-0.230513
2026-05-11,2026-05-12,301595.SZ,太力科技,nearest_nonselection,,independent_price_anomaly,3日和5日相对行业约+12.7%、+11.3%，60日位置29.3%。,连续性只有80%，流动性与推进效率低于P2/P3。,unresolved,低位置不能化解同日替代股更完整。,具体弱于P2蓝思科技的流动性、弱于P3科大国创的连续性。,0,,0.000908,-0.176213
2026-05-11,2026-05-12,301319.SZ,唯特偶,nearest_nonselection,,independent_price_anomaly,5日相对行业约+40.2%、连续性100%，推进效率高。,60日位置100%，上影60%、回落40%，累计超额很大。,unresolved,强势已经明显消耗剩余路径。,相比P2/P3，价格透支和回落反证更强。,1,7,1.034987,1.034987
2026-05-11,2026-05-12,600683.SH,京投发展,nearest_nonselection,,independent_price_anomaly,5日相对行业约+32.1%，5日全部上涨。,60日位置100%，涨停贡献约59.5%。,unresolved,连续上涨不能化解高位置与涨停依赖。,相比P2/P3，更像已经加速而非低位激活。,0,,0.002404,-0.296154
2026-05-25,2026-05-26,301127.SZ,武汉天源,selected,1.000000,independent_price_anomaly,3日和5日相对行业约+16.6%、+16.7%，4日上涨、成交约为此前2.17倍、60日位置43.9%，没有涨停贡献。,上影频率40%、尚未突破此前60日高点。,resolved,多日相对优势、成交推进和低位置共同说明路径不是末日脉冲。,优于天宇股份：成交放大更持续；优于倍杰特：冲高回落更少。,0,,0.130146,0.130146
2026-05-25,2026-05-26,300702.SZ,天宇股份,nearest_nonselection,,independent_price_anomaly,3日和5日相对行业约+12.8%、+14.5%，60日位置38.9%。,成交放大只有1日，形成日单日相对贡献较大。,unresolved,5日强势存在，但成交持续性不能化解末日脉冲疑问。,弱于P1武汉天源的持续成交确认。,0,,0.016313,0.016313
2026-05-25,2026-05-26,300774.SZ,倍杰特,nearest_nonselection,,independent_price_anomaly,5日相对行业约+12.2%，价格位置仅13.8%，推进效率高。,上影60%、冲高回落40%，仅3日上涨。,unresolved,极低位置不能化解价格质量反复。,弱于P1武汉天源的连续性。,0,,-0.011605,-0.192304
2026-05-25,2026-05-26,300196.SZ,长海股份,nearest_nonselection,,sector_diffusion,玻璃玻纤上涨面93.8%、2日共同增强，个股排名87.5%、跑赢板块约12.5%。,板块5日已跑赢市场约11%，个股60日位置100%。,unresolved,共同上涨和成员强势都已处高位，剩余路径未化解。,相比P1武汉天源，更拥挤且位置更高。,1,17,0.368312,0.236002
2026-06-15,2026-06-16,000506.SZ,招金黄金,selected,1.000000,sector_diffusion,贵金属上涨面100%、连续3日增强，板块5日跑赢市场约8.3%；个股排名90.9%、领先近似同类约12.6个百分点，60日位置36.3%。,市场当日普涨，贵金属板块本身也已明显增强。,resolved,个股低位置、继续跑赢行业并直接超过近似同类，说明仍有成员自身增量。,优于西部黄金：排名和同类差更强；优于独立异常：板块因果更完整。,0,,0.023163,-0.097948
2026-06-15,2026-06-16,300468.SZ,四方精创,selected,2.000000,independent_price_anomaly,3日和5日相对行业约+9.6%、+10.3%，4日上涨、成交约为此前2.10倍，推进效率较高，60日位置18.3%。,绝对相对强度不算极端，尚未突破此前高点。,resolved,极低位置、多日连续超额和成交推进共同支持早期激活路径。,优于海科新源：上影回落更少、位置更低；排在板块因果更强的招金黄金之后。,0,,0.001212,-0.231919
2026-06-15,2026-06-16,002083.SZ,孚日股份,selected,3.000000,independent_price_anomaly,3日和5日相对行业约+13.5%、+12.3%，4日上涨、成交约为此前2.98倍，60日位置25.0%，无明显冲高回落。,成交放大只有2日，相对强势斜率低于P2。,resolved,低位置、较高推进效率和跨3—5日超额说明不是单日放量。,虽持续成交弱于P2四方精创，但相对行业增量更大，仍达到独立入选质量。,0,,0.197321,-0.033009
2026-06-15,2026-06-16,601179.SH,中国西电,nearest_nonselection,,company_catalyst,形成日前1日披露产品中标，披露后约+10%，60日位置23.7%。,现有形成日记录缺少中标金额及其相对公司体量。,unknown,价格反应清楚，但公司材料性无法确认。,因此没有替代P2/P3两个因果更完整的独立异常。,0,,0.082527,-0.195487
2026-06-15,2026-06-16,301292.SZ,海科新源,nearest_nonselection,,independent_price_anomaly,3日和5日相对行业约+11.8%、+11.9%，60日位置29.7%。,上影和冲高回落频率均40%，成交放大只有2日。,unresolved,低位置未化解价格质量和成交持续性不足。,弱于P2四方精创和P3孚日股份。,0,,0.195817,-0.227121
2026-06-15,2026-06-16,300263.SZ,隆华科技,nearest_nonselection,,independent_price_anomaly,3日和5日相对行业约+33.3%、+40.5%，成交约为此前2.43倍。,60日位置100%，短期超额已经很大。,unresolved,连续强势不能化解高位置透支。,相比P2/P3低位路径，剩余空间明显更差。,0,,0.078065,-0.236774
