entity_name,gap_id,report_period,official_line_item,official_value_status,local_dataset,local_column,local_value_status,formula_input_role,mismatch_type,recommended_action,evidence_path,note_cn
曙光数创,B2G005,2026-06-30,销售商品、提供劳务收到的现金,present,cash_flow,c_fr_sale_sg,"present:588,603,048.94",cash_collection_input,none,use_local_value,research/industry-runs/ai-liquid-cooling-2026h2-001/05_B2_本地核查.json + https://www.bse.cn/disclosure/2026/2026-08-25/bd21c1cedd484f8ebc77bcf91b8dc85f.pdf (资产负债表p45-46；一年以上合同资产p116-117),销售回款基础项。
曙光数创,B2G005,2026-06-30,营业收入（TTM由可比期间推导）,components_present,income_statement,revenue (fallback total_revenue),"present:988,188,419.42",denominator,none,use_deterministic_ttm,research/industry-runs/ai-liquid-cooling-2026h2-001/05_B2_本地核查.json + https://www.bse.cn/disclosure/2026/2026-08-25/bd21c1cedd484f8ebc77bcf91b8dc85f.pdf (资产负债表p45-46；一年以上合同资产p116-117),TTM不是单张报表直接行项，按B1可比期间公式推导。
飞荣达,B2G008,2026-03-31,应收账款,present,balance_sheet,accounts_receiv (fallback acc_receivable),"present:2,659,671,673.39",positive_component,none,use_local_value,research/industry-runs/ai-liquid-cooling-2026h2-001/05_B2_本地核查.json + https://disc.static.szse.cn/disc/disk03/finalpage/2026-04-28/cff7b1a4-5371-4d94-b1e6-06b1e0347649.PDF (资产分析p41；资产负债表p108-109),基础风险项，始终输出。
飞荣达,B2G008,2026-03-31,合同资产,prior_period_true_zero_current_period_unknown,balance_sheet,contract_assets,null,optional_positive_component,cross_period_zero_evidence_local_null,keep_current_period_unknown,research/industry-runs/ai-liquid-cooling-2026h2-001/05_B2_本地核查.json + https://disc.static.szse.cn/disc/disk03/finalpage/2026-04-28/cff7b1a4-5371-4d94-b1e6-06b1e0347649.PDF (2025年报资产分析p41；资产负债表p108-109),2025年报合同资产为零只支持上一报告期正式值和字段语义；无2026Q1同期间同合并口径正式零值时保持unknown或partial。
飞荣达,B2G008,2026-03-31,存货,present,balance_sheet,inventories,"present:1,325,648,664.04",positive_component,none,use_local_value,research/industry-runs/ai-liquid-cooling-2026h2-001/05_B2_本地核查.json + https://disc.static.szse.cn/disc/disk03/finalpage/2026-04-28/cff7b1a4-5371-4d94-b1e6-06b1e0347649.PDF (资产分析p41；资产负债表p108-109),基础风险项，始终输出。
飞荣达,B2G008,2026-03-31,合同负债,present,balance_sheet,contract_liab,"present:11,728,890.13",negative_component,none,use_local_value,research/industry-runs/ai-liquid-cooling-2026h2-001/05_B2_本地核查.json + https://disc.static.szse.cn/disc/disk03/finalpage/2026-04-28/cff7b1a4-5371-4d94-b1e6-06b1e0347649.PDF (资产分析p41；资产负债表p108-109),基础风险项，始终输出。
飞荣达,B2G008,2026-03-31,预收款项,prior_period_not_separately_presented,balance_sheet,adv_receipts,null,optional_negative_component,cross_period_semantics_local_null,treat_as_optional_keep_current_unknown,research/industry-runs/ai-liquid-cooling-2026h2-001/05_B2_本地核查.json + https://disc.static.szse.cn/disc/disk03/finalpage/2026-04-28/cff7b1a4-5371-4d94-b1e6-06b1e0347649.PDF (2025年报资产分析p41；资产负债表p108-109),2025年报只支持列报语义；2026Q1本地null不能证明本期为零或不适用。
飞荣达,B2G008,2026-03-31,经营活动现金流净额,present,cash_flow,n_cashflow_act,"present:-23,890,682.83",risk_context,none,use_local_value,research/industry-runs/ai-liquid-cooling-2026h2-001/05_B2_本地核查.json + https://disc.static.szse.cn/disc/disk03/finalpage/2026-04-28/cff7b1a4-5371-4d94-b1e6-06b1e0347649.PDF (资产分析p41；资产负债表p108-109),基础现金风险项，不依赖综合强度。
飞荣达,B2G008,2026-03-31,销售商品、提供劳务收到的现金,present,cash_flow,c_fr_sale_sg,"present:1,664,567,948.94",cash_collection_input,none,use_local_value,research/industry-runs/ai-liquid-cooling-2026h2-001/05_B2_本地核查.json + https://disc.static.szse.cn/disc/disk03/finalpage/2026-04-28/cff7b1a4-5371-4d94-b1e6-06b1e0347649.PDF (资产分析p41；资产负债表p108-109),销售回款基础项。
飞荣达,B2G008,2026-03-31,营业收入（TTM由可比期间推导）,components_present,income_statement,revenue (fallback total_revenue),"present:6,989,112,739.08",denominator,none,use_deterministic_ttm,research/industry-runs/ai-liquid-cooling-2026h2-001/05_B2_本地核查.json + https://disc.static.szse.cn/disc/disk03/finalpage/2026-04-28/cff7b1a4-5371-4d94-b1e6-06b1e0347649.PDF (资产分析p41；资产负债表p108-109),TTM不是单张报表直接行项，按B1可比期间公式推导。
佳力图,B2G010,2026-03-31,应收账款,present,balance_sheet,accounts_receiv (fallback acc_receivable),"present:355,029,621.12",positive_component,none,use_local_value,research/industry-runs/ai-liquid-cooling-2026h2-001/05_B2_本地核查.json + https://big5.sse.com.cn/site/cht/www.sse.com.cn/disclosure/listedinfo/announcement/c/new/2026-08-26/603912_20260826_04J5.pdf (资产负债表p54-55；预收款附注p128),基础风险项，始终输出。
佳力图,B2G010,2026-03-31,合同资产,present,balance_sheet,contract_assets,"present:75,792,469.94",optional_positive_component,none,use_local_value,research/industry-runs/ai-liquid-cooling-2026h2-001/05_B2_本地核查.json + https://big5.sse.com.cn/site/cht/www.sse.com.cn/disclosure/listedinfo/announcement/c/new/2026-08-26/603912_20260826_04J5.pdf (资产负债表p54-55；预收款附注p128),正式报告和本地列均有合同资产。
佳力图,B2G010,2026-03-31,存货,present,balance_sheet,inventories,"present:434,858,648.97",positive_component,none,use_local_value,research/industry-runs/ai-liquid-cooling-2026h2-001/05_B2_本地核查.json + https://big5.sse.com.cn/site/cht/www.sse.com.cn/disclosure/listedinfo/announcement/c/new/2026-08-26/603912_20260826_04J5.pdf (资产负债表p54-55；预收款附注p128),基础风险项，始终输出。
佳力图,B2G010,2026-03-31,合同负债,present,balance_sheet,contract_liab,"present:82,794,475.21",negative_component,none,use_local_value,research/industry-runs/ai-liquid-cooling-2026h2-001/05_B2_本地核查.json + https://big5.sse.com.cn/site/cht/www.sse.com.cn/disclosure/listedinfo/announcement/c/new/2026-08-26/603912_20260826_04J5.pdf (资产负债表p54-55；预收款附注p128),基础风险项，始终输出。
佳力图,B2G010,2026-03-31,预收款项,later_period_not_applicable_current_period_unknown,balance_sheet,adv_receipts,null,optional_negative_component,cross_period_semantics_local_null,treat_as_optional_keep_current_unknown,research/industry-runs/ai-liquid-cooling-2026h2-001/05_B2_本地核查.json + https://big5.sse.com.cn/site/cht/www.sse.com.cn/disclosure/listedinfo/announcement/c/new/2026-08-26/603912_20260826_04J5.pdf (2026H1资产负债表p54-55；预收款附注p128),2026H1“不适用”只支持列报语义；2026Q1本地null不能自动改写为本期不适用。
佳力图,B2G010,2026-03-31,经营活动现金流净额,present,cash_flow,n_cashflow_act,"present:-40,052,269.15",risk_context,none,use_local_value,research/industry-runs/ai-liquid-cooling-2026h2-001/05_B2_本地核查.json + https://big5.sse.com.cn/site/cht/www.sse.com.cn/disclosure/listedinfo/announcement/c/new/2026-08-26/603912_20260826_04J5.pdf (资产负债表p54-55；预收款附注p128),基础现金风险项，不依赖综合强度。
佳力图,B2G010,2026-03-31,销售商品、提供劳务收到的现金,present,cash_flow,c_fr_sale_sg,"present:162,505,321.14",cash_collection_input,none,use_local_value,research/industry-runs/ai-liquid-cooling-2026h2-001/05_B2_本地核查.json + https://big5.sse.com.cn/site/cht/www.sse.com.cn/disclosure/listedinfo/announcement/c/new/2026-08-26/603912_20260826_04J5.pdf (资产负债表p54-55；预收款附注p128),销售回款基础项。
佳力图,B2G010,2026-03-31,营业收入（TTM由可比期间推导）,components_present,income_statement,revenue (fallback total_revenue),"present:745,831,035.79",denominator,none,use_deterministic_ttm,research/industry-runs/ai-liquid-cooling-2026h2-001/05_B2_本地核查.json + https://big5.sse.com.cn/site/cht/www.sse.com.cn/disclosure/listedinfo/announcement/c/new/2026-08-26/603912_20260826_04J5.pdf (资产负债表p54-55；预收款附注p128),TTM不是单张报表直接行项，按B1可比期间公式推导。
高澜股份,B2G013,2026-03-31,应收账款,present,balance_sheet,accounts_receiv (fallback acc_receivable),"present:443,570,138.1",positive_component,none,use_local_value,research/industry-runs/ai-liquid-cooling-2026h2-001/05_B2_本地核查.json + https://disc.static.szse.cn/disc/disk03/finalpage/2026-04-24/705f7d73-d055-4316-bc17-3d035a582b4f.PDF (资产负债表p85-86),基础风险项，始终输出。
高澜股份,B2G013,2026-03-31,合同资产,present,balance_sheet,contract_assets,"present:13,078,535.23",optional_positive_component,none,use_local_value,research/industry-runs/ai-liquid-cooling-2026h2-001/05_B2_本地核查.json + https://disc.static.szse.cn/disc/disk03/finalpage/2026-04-24/705f7d73-d055-4316-bc17-3d035a582b4f.PDF (资产负债表p85-86),正式报告和本地列均有合同资产。
高澜股份,B2G013,2026-03-31,存货,present,balance_sheet,inventories,"present:651,241,874.08",positive_component,none,use_local_value,research/industry-runs/ai-liquid-cooling-2026h2-001/05_B2_本地核查.json + https://disc.static.szse.cn/disc/disk03/finalpage/2026-04-24/705f7d73-d055-4316-bc17-3d035a582b4f.PDF (资产负债表p85-86),基础风险项，始终输出。
高澜股份,B2G013,2026-03-31,合同负债,present,balance_sheet,contract_liab,"present:313,435,885.81",negative_component,none,use_local_value,research/industry-runs/ai-liquid-cooling-2026h2-001/05_B2_本地核查.json + https://disc.static.szse.cn/disc/disk03/finalpage/2026-04-24/705f7d73-d055-4316-bc17-3d035a582b4f.PDF (资产负债表p85-86),基础风险项，始终输出。
高澜股份,B2G013,2026-03-31,预收款项,prior_period_presentation_semantics,balance_sheet,adv_receipts,null,optional_negative_component,cross_period_semantics_local_null,do_not_double_subtract_keep_current_unknown,research/industry-runs/ai-liquid-cooling-2026h2-001/05_B2_本地核查.json + https://disc.static.szse.cn/disc/disk03/finalpage/2026-04-24/705f7d73-d055-4316-bc17-3d035a582b4f.PDF (资产负债表p85-86),年报只支持项目预收列入合同负债的会计语义；2026Q1数值仍不得由跨期文件推断。
高澜股份,B2G013,2026-03-31,经营活动现金流净额,present,cash_flow,n_cashflow_act,"present:-112,480,645.3",risk_context,none,use_local_value,research/industry-runs/ai-liquid-cooling-2026h2-001/05_B2_本地核查.json + https://disc.static.szse.cn/disc/disk03/finalpage/2026-04-24/705f7d73-d055-4316-bc17-3d035a582b4f.PDF (资产负债表p85-86),基础现金风险项，不依赖综合强度。
高澜股份,B2G013,2026-03-31,销售商品、提供劳务收到的现金,present,cash_flow,c_fr_sale_sg,"present:94,182,215.54",cash_collection_input,none,use_local_value,research/industry-runs/ai-liquid-cooling-2026h2-001/05_B2_本地核查.json + https://disc.static.szse.cn/disc/disk03/finalpage/2026-04-24/705f7d73-d055-4316-bc17-3d035a582b4f.PDF (资产负债表p85-86),销售回款基础项。
高澜股份,B2G013,2026-03-31,营业收入（TTM由可比期间推导）,components_present,income_statement,revenue (fallback total_revenue),"present:983,075,292.63",denominator,none,use_deterministic_ttm,research/industry-runs/ai-liquid-cooling-2026h2-001/05_B2_本地核查.json + https://disc.static.szse.cn/disc/disk03/finalpage/2026-04-24/705f7d73-d055-4316-bc17-3d035a582b4f.PDF (资产负债表p85-86),TTM不是单张报表直接行项，按B1可比期间公式推导。
同飞股份,B2G015,2026-03-31,应收账款,present,balance_sheet,accounts_receiv (fallback acc_receivable),"present:867,161,404.94",positive_component,none,use_local_value,research/industry-runs/ai-liquid-cooling-2026h2-001/05_B2_本地核查.json + https://disc.static.szse.cn/disc/disk03/finalpage/2026-04-01/13703dac-c2cf-4efc-8c78-7e1f78f1ff10.PDF (资产负债表p74-75),基础风险项，始终输出。
同飞股份,B2G015,2026-03-31,合同资产,present,balance_sheet,contract_assets,"present:31,298,638.89",optional_positive_component,none,use_for_company_level_risk_only,research/industry-runs/ai-liquid-cooling-2026h2-001/05_B2_本地核查.json + https://disc.static.szse.cn/disc/disk03/finalpage/2026-04-01/13703dac-c2cf-4efc-8c78-7e1f78f1ff10.PDF (资产负债表p74-75),基础项可用于公司级背景，但液冷关系门未过。
同飞股份,B2G015,2026-03-31,存货,present,balance_sheet,inventories,"present:318,712,139.96",positive_component,none,use_local_value,research/industry-runs/ai-liquid-cooling-2026h2-001/05_B2_本地核查.json + https://disc.static.szse.cn/disc/disk03/finalpage/2026-04-01/13703dac-c2cf-4efc-8c78-7e1f78f1ff10.PDF (资产负债表p74-75),基础风险项，始终输出。
同飞股份,B2G015,2026-03-31,合同负债,present,balance_sheet,contract_liab,"present:28,663,461.78",negative_component,none,use_local_value,research/industry-runs/ai-liquid-cooling-2026h2-001/05_B2_本地核查.json + https://disc.static.szse.cn/disc/disk03/finalpage/2026-04-01/13703dac-c2cf-4efc-8c78-7e1f78f1ff10.PDF (资产负债表p74-75),基础风险项，始终输出。
同飞股份,B2G015,2026-03-31,预收款项,prior_period_not_separately_presented,balance_sheet,adv_receipts,null,optional_negative_component,cross_period_semantics_local_null,treat_as_optional_keep_current_unknown,research/industry-runs/ai-liquid-cooling-2026h2-001/05_B2_本地核查.json + https://disc.static.szse.cn/disc/disk03/finalpage/2026-04-01/13703dac-c2cf-4efc-8c78-7e1f78f1ff10.PDF (资产负债表p74-75),跨期正式文件只支持列报语义；2026Q1本地null不能证明本期为零或不适用。
同飞股份,B2G015,2026-03-31,经营活动现金流净额,present,cash_flow,n_cashflow_act,"present:143,393,446.04",risk_context,none,use_local_value,research/industry-runs/ai-liquid-cooling-2026h2-001/05_B2_本地核查.json + https://disc.static.szse.cn/disc/disk03/finalpage/2026-04-01/13703dac-c2cf-4efc-8c78-7e1f78f1ff10.PDF (资产负债表p74-75),基础现金风险项，不依赖综合强度。
同飞股份,B2G015,2026-03-31,销售商品、提供劳务收到的现金,present,cash_flow,c_fr_sale_sg,"present:387,208,721.14",cash_collection_input,none,use_local_value,research/industry-runs/ai-liquid-cooling-2026h2-001/05_B2_本地核查.json + https://disc.static.szse.cn/disc/disk03/finalpage/2026-04-01/13703dac-c2cf-4efc-8c78-7e1f78f1ff10.PDF (资产负债表p74-75),销售回款基础项。
同飞股份,B2G015,2026-03-31,营业收入（TTM由可比期间推导）,components_present,income_statement,revenue (fallback total_revenue),"present:2,992,511,693.9",denominator,none,use_deterministic_ttm,research/industry-runs/ai-liquid-cooling-2026h2-001/05_B2_本地核查.json + https://disc.static.szse.cn/disc/disk03/finalpage/2026-04-01/13703dac-c2cf-4efc-8c78-7e1f78f1ff10.PDF (资产负债表p74-75),TTM不是单张报表直接行项，按B1可比期间公式推导。
荣亿精密,B2G017,2026-06-30,应收账款,present,balance_sheet,accounts_receiv (fallback acc_receivable),"present:230,325,051.11",positive_component,none,use_local_value,research/industry-runs/ai-liquid-cooling-2026h2-001/05_B2_本地核查.json + https://www.bse.cn/disclosure/2026/2026-08-25/a8486b7e58ee4bf7997110ce99996fdc.pdf (资产负债表p36-37),基础风险项，始终输出。
荣亿精密,B2G017,2026-06-30,合同资产,no_current_value_presented,balance_sheet,contract_assets,null,optional_positive_component,official_no_value_local_null,keep_unknown_not_zero,research/industry-runs/ai-liquid-cooling-2026h2-001/05_B2_本地核查.json + https://www.bse.cn/disclosure/2026/2026-08-25/a8486b7e58ee4bf7997110ce99996fdc.pdf (资产负债表p36-37),正式合并报表合同资产未列数，不能认定为真实零。
荣亿精密,B2G017,2026-06-30,存货,present,balance_sheet,inventories,"present:65,772,572.4",positive_component,none,use_local_value,research/industry-runs/ai-liquid-cooling-2026h2-001/05_B2_本地核查.json + https://www.bse.cn/disclosure/2026/2026-08-25/a8486b7e58ee4bf7997110ce99996fdc.pdf (资产负债表p36-37),基础风险项，始终输出。
荣亿精密,B2G017,2026-06-30,合同负债,present,balance_sheet,contract_liab,"present:361,848.4",negative_component,none,use_local_value,research/industry-runs/ai-liquid-cooling-2026h2-001/05_B2_本地核查.json + https://www.bse.cn/disclosure/2026/2026-08-25/a8486b7e58ee4bf7997110ce99996fdc.pdf (资产负债表p36-37),基础风险项，始终输出。
荣亿精密,B2G017,2026-06-30,预收款项,not_separately_presented,balance_sheet,adv_receipts,null,optional_negative_component,official_blank_local_null,treat_as_optional_not_zero,research/industry-runs/ai-liquid-cooling-2026h2-001/05_B2_本地核查.json + https://www.bse.cn/disclosure/2026/2026-08-25/a8486b7e58ee4bf7997110ce99996fdc.pdf (资产负债表p36-37),预收款项空列、合同负债有值。
荣亿精密,B2G017,2026-06-30,经营活动现金流净额,present,cash_flow,n_cashflow_act,"present:-35,689,596.59",risk_context,none,use_local_value,research/industry-runs/ai-liquid-cooling-2026h2-001/05_B2_本地核查.json + https://www.bse.cn/disclosure/2026/2026-08-25/a8486b7e58ee4bf7997110ce99996fdc.pdf (资产负债表p36-37),基础现金风险项，不依赖综合强度。
荣亿精密,B2G017,2026-06-30,销售商品、提供劳务收到的现金,present,cash_flow,c_fr_sale_sg,"present:202,289,328.6",cash_collection_input,none,use_local_value,research/industry-runs/ai-liquid-cooling-2026h2-001/05_B2_本地核查.json + https://www.bse.cn/disclosure/2026/2026-08-25/a8486b7e58ee4bf7997110ce99996fdc.pdf (资产负债表p36-37),销售回款基础项。
荣亿精密,B2G017,2026-06-30,营业收入（TTM由可比期间推导）,components_present,income_statement,revenue (fallback total_revenue),"present:493,677,805.81",denominator,none,use_deterministic_ttm,research/industry-runs/ai-liquid-cooling-2026h2-001/05_B2_本地核查.json + https://www.bse.cn/disclosure/2026/2026-08-25/a8486b7e58ee4bf7997110ce99996fdc.pdf (资产负债表p36-37),TTM不是单张报表直接行项，按B1可比期间公式推导。
