episode_id,ts_code,name,action_date,review_date,day_number,checkpoint,review_origin,current_assessment,current_path,view_change,outlook_1_3d,tracking_decision,source_snapshot,source_monitor_report_if_any
formal:2026-08-26:603993.SH:selected,603993.SH,洛阳钼业,2026-08-27,2026-08-27,1,D1,backfill,partly_supported,up,first_review,continuation_possible,historical_not_applied,local_archive/forward_monitor/snapshot-2026-08-27.json,
v4-replay-2026-08-20:2026-08-20:300832.SZ:selected,300832.SZ,新产业,2026-08-21,2026-08-27,5,D5,copied_live_archive,contradicted,down,unchanged,invalidated,historical_not_applied,local_archive/forward_monitor/snapshot-2026-08-27.json,local_archive/forward_monitor/monitor-report-2026-08-27.json
v4-replay-2026-08-20:2026-08-20:603969.SH:selected,603969.SH,银龙股份,2026-08-21,2026-08-27,5,D5,copied_live_archive,partly_supported,up,strengthened,continuation_possible,historical_not_applied,local_archive/forward_monitor/snapshot-2026-08-27.json,local_archive/forward_monitor/monitor-report-2026-08-27.json
formal:2026-08-21:600583.SH:selected,600583.SH,海油工程,2026-08-24,2026-08-28,5,D5,backfill,partly_supported,up,unchanged,continuation_possible,historical_not_applied,local_archive/forward_monitor/snapshot-2026-08-28.json,
formal:2026-08-21:600980.SH:selected,600980.SH,北矿科技,2026-08-24,2026-08-28,5,D5,backfill,partly_supported,sideways,unchanged,range_or_wait,historical_not_applied,local_archive/forward_monitor/snapshot-2026-08-28.json,
formal:2026-08-24:000690.SZ:selected,000690.SZ,宝新能源,2026-08-25,2026-08-28,4,,backfill,partly_supported,sideways,unchanged,range_or_wait,historical_not_applied,local_archive/forward_monitor/snapshot-2026-08-28.json,
formal:2026-08-24:601998.SH:selected,601998.SH,中信银行,2026-08-25,2026-08-28,4,,copied_live_archive,weakening,sideways,weakened,overheated,historical_not_applied,local_archive/forward_monitor/snapshot-2026-08-28.json,local_archive/forward_monitor/monitor-report-2026-08-28.json
formal:2026-08-25:002274.SZ:selected,002274.SZ,华昌化工,2026-08-26,2026-08-28,3,D3,copied_live_archive,insufficient_evidence,not_evaluable,unchanged,invalidated,historical_not_applied,local_archive/forward_monitor/snapshot-2026-08-28.json,local_archive/forward_monitor/monitor-report-2026-08-28.json
formal:2026-08-25:300473.SZ:selected,300473.SZ,德尔股份,2026-08-26,2026-08-28,3,D3,backfill,supported,up,unchanged,continuation_possible,historical_not_applied,local_archive/forward_monitor/snapshot-2026-08-28.json,
formal:2026-08-25:603408.SH:selected,603408.SH,建霖家居,2026-08-26,2026-08-28,3,D3,backfill,partly_supported,sideways,weakened,range_or_wait,historical_not_applied,local_archive/forward_monitor/snapshot-2026-08-28.json,
formal:2026-08-26:300082.SZ:selected,300082.SZ,奥克股份,2026-08-27,2026-08-28,2,,copied_live_archive,weakening,up,weakened,weakening,historical_not_applied,local_archive/forward_monitor/snapshot-2026-08-28.json,local_archive/forward_monitor/monitor-report-2026-08-28.json
formal:2026-08-26:300107.SZ:selected,300107.SZ,建新股份,2026-08-27,2026-08-28,2,,backfill,supported,up,unchanged,continuation_possible,historical_not_applied,local_archive/forward_monitor/snapshot-2026-08-28.json,
formal:2026-08-26:301289.SZ:selected,301289.SZ,国缆检测,2026-08-27,2026-08-28,2,,backfill,weakening,down,weakened,weakening,historical_not_applied,local_archive/forward_monitor/snapshot-2026-08-28.json,
formal:2026-08-26:603993.SH:selected,603993.SH,洛阳钼业,2026-08-27,2026-08-28,2,,backfill,supported,up,strengthened,continuation_possible,historical_not_applied,local_archive/forward_monitor/snapshot-2026-08-28.json,
formal:2026-08-27:000655.SZ:selected,000655.SZ,金岭矿业,2026-08-28,2026-08-28,1,D1,backfill,supported,up,first_review,continuation_possible,historical_not_applied,local_archive/forward_monitor/snapshot-2026-08-28.json,
formal:2026-08-27:000801.SZ:selected,000801.SZ,四川九洲,2026-08-28,2026-08-28,1,D1,copied_live_archive,partly_supported,up,first_review,range_or_wait,historical_not_applied,local_archive/forward_monitor/snapshot-2026-08-28.json,local_archive/forward_monitor/monitor-report-2026-08-28.json
formal:2026-08-27:003816.SZ:selected,003816.SZ,中国广核,2026-08-28,2026-08-28,1,D1,copied_live_archive,supported,up,first_review,continuation_possible,historical_not_applied,local_archive/forward_monitor/snapshot-2026-08-28.json,local_archive/forward_monitor/monitor-report-2026-08-28.json
v4-replay-2026-08-20:2026-08-20:300832.SZ:selected,300832.SZ,新产业,2026-08-21,2026-08-28,6,,copied_live_archive,contradicted,down,unchanged,invalidated,historical_not_applied,local_archive/forward_monitor/snapshot-2026-08-28.json,local_archive/forward_monitor/monitor-report-2026-08-28.json
v4-replay-2026-08-20:2026-08-20:603969.SH:selected,603969.SH,银龙股份,2026-08-21,2026-08-28,6,,backfill,supported,up,strengthened,continuation_possible,historical_not_applied,local_archive/forward_monitor/snapshot-2026-08-28.json,
formal:2026-08-21:600583.SH:selected,600583.SH,海油工程,2026-08-24,2026-08-31,6,,backfill,partly_supported,up,unchanged,continuation_possible,historical_not_applied,local_archive/forward_monitor/snapshot-2026-08-31.json,
formal:2026-08-21:600980.SH:selected,600980.SH,北矿科技,2026-08-24,2026-08-31,6,,backfill,partly_supported,sideways,unchanged,range_or_wait,historical_not_applied,local_archive/forward_monitor/snapshot-2026-08-31.json,
formal:2026-08-24:000690.SZ:selected,000690.SZ,宝新能源,2026-08-25,2026-08-31,5,D5,copied_live_archive,contradicted,sideways,invalidated,invalidated,historical_not_applied,local_archive/forward_monitor/snapshot-2026-08-31.json,local_archive/forward_monitor/monitor-report-2026-08-31.json
formal:2026-08-24:601998.SH:selected,601998.SH,中信银行,2026-08-25,2026-08-31,5,D5,backfill,partly_supported,up,strengthened,continuation_possible,historical_not_applied,local_archive/forward_monitor/snapshot-2026-08-31.json,
formal:2026-08-25:002274.SZ:selected,002274.SZ,华昌化工,2026-08-26,2026-08-31,4,,backfill,insufficient_evidence,not_evaluable,unchanged,event_pending,historical_not_applied,local_archive/forward_monitor/snapshot-2026-08-31.json,
formal:2026-08-25:300473.SZ:selected,300473.SZ,德尔股份,2026-08-26,2026-08-31,4,,backfill,supported,up,unchanged,continuation_possible,historical_not_applied,local_archive/forward_monitor/snapshot-2026-08-31.json,
formal:2026-08-25:603408.SH:selected,603408.SH,建霖家居,2026-08-26,2026-08-31,4,,backfill,partly_supported,up,unchanged,continuation_possible,historical_not_applied,local_archive/forward_monitor/snapshot-2026-08-31.json,
formal:2026-08-26:300082.SZ:selected,300082.SZ,奥克股份,2026-08-27,2026-08-31,3,D3,backfill,weakening,down,unchanged,weakening,historical_not_applied,local_archive/forward_monitor/snapshot-2026-08-31.json,
formal:2026-08-26:300107.SZ:selected,300107.SZ,建新股份,2026-08-27,2026-08-31,3,D3,backfill,partly_supported,up,weakened,continuation_possible,historical_not_applied,local_archive/forward_monitor/snapshot-2026-08-31.json,
formal:2026-08-26:301289.SZ:selected,301289.SZ,国缆检测,2026-08-27,2026-08-31,3,D3,backfill,weakening,down,unchanged,weakening,historical_not_applied,local_archive/forward_monitor/snapshot-2026-08-31.json,
formal:2026-08-26:603993.SH:selected,603993.SH,洛阳钼业,2026-08-27,2026-08-31,3,D3,backfill,weakening,down,weakened,weakening,historical_not_applied,local_archive/forward_monitor/snapshot-2026-08-31.json,
formal:2026-08-27:000655.SZ:selected,000655.SZ,金岭矿业,2026-08-28,2026-08-31,2,,backfill,weakening,down,weakened,weakening,historical_not_applied,local_archive/forward_monitor/snapshot-2026-08-31.json,
formal:2026-08-27:000801.SZ:selected,000801.SZ,四川九洲,2026-08-28,2026-08-31,2,,copied_live_archive,supported,up,strengthened,strengthening,historical_not_applied,local_archive/forward_monitor/snapshot-2026-08-31.json,local_archive/forward_monitor/monitor-report-2026-08-31.json
formal:2026-08-27:003816.SZ:selected,003816.SZ,中国广核,2026-08-28,2026-08-31,2,,copied_live_archive,supported,up,unchanged,strengthening,historical_not_applied,local_archive/forward_monitor/snapshot-2026-08-31.json,local_archive/forward_monitor/monitor-report-2026-08-31.json
formal:2026-08-28:000928.SZ:selected,000928.SZ,中钢国际,2026-08-31,2026-08-31,1,D1,backfill,supported,up,first_review,continuation_possible,historical_not_applied,local_archive/forward_monitor/snapshot-2026-08-31.json,
formal:2026-08-28:002430.SZ:selected,002430.SZ,杭氧股份,2026-08-31,2026-08-31,1,D1,backfill,supported,up,first_review,continuation_possible,historical_not_applied,local_archive/forward_monitor/snapshot-2026-08-31.json,
formal:2026-08-28:300910.SZ:selected,300910.SZ,瑞丰新材,2026-08-31,2026-08-31,1,D1,backfill,supported,up,first_review,continuation_possible,historical_not_applied,local_archive/forward_monitor/snapshot-2026-08-31.json,
v4-replay-2026-08-20:2026-08-20:300832.SZ:selected,300832.SZ,新产业,2026-08-21,2026-08-31,7,,copied_live_archive,contradicted,down,unchanged,invalidated,historical_not_applied,local_archive/forward_monitor/snapshot-2026-08-31.json,local_archive/forward_monitor/monitor-report-2026-08-31.json
v4-replay-2026-08-20:2026-08-20:603969.SH:selected,603969.SH,银龙股份,2026-08-21,2026-08-31,7,,backfill,supported,up,unchanged,continuation_possible,historical_not_applied,local_archive/forward_monitor/snapshot-2026-08-31.json,
formal:2026-08-21:600583.SH:selected,600583.SH,海油工程,2026-08-24,2026-09-01,7,,copied_live_archive,supported,up,strengthened,strengthening,historical_not_applied,local_archive/forward_monitor/snapshot-2026-09-01.json,local_archive/forward_monitor/monitor-report-2026-09-01.json
formal:2026-08-21:600980.SH:selected,600980.SH,北矿科技,2026-08-24,2026-09-01,7,,backfill,partly_supported,sideways,unchanged,range_or_wait,historical_not_applied,local_archive/forward_monitor/snapshot-2026-09-01.json,
formal:2026-08-24:000690.SZ:selected,000690.SZ,宝新能源,2026-08-25,2026-09-01,6,,backfill,partly_supported,up,strengthened,continuation_possible,historical_not_applied,local_archive/forward_monitor/snapshot-2026-09-01.json,
formal:2026-08-24:601998.SH:selected,601998.SH,中信银行,2026-08-25,2026-09-01,6,,copied_live_archive,supported,up,strengthened,strengthening,historical_not_applied,local_archive/forward_monitor/snapshot-2026-09-01.json,local_archive/forward_monitor/monitor-report-2026-09-01.json
formal:2026-08-25:002274.SZ:selected,002274.SZ,华昌化工,2026-08-26,2026-09-01,5,D5,copied_live_archive,insufficient_evidence,not_evaluable,unchanged,event_pending,historical_not_applied,local_archive/forward_monitor/snapshot-2026-09-01.json,local_archive/forward_monitor/monitor-report-2026-09-01.json
formal:2026-08-25:300473.SZ:selected,300473.SZ,德尔股份,2026-08-26,2026-09-01,5,D5,copied_live_archive,supported,up,unchanged,strengthening,historical_not_applied,local_archive/forward_monitor/snapshot-2026-09-01.json,local_archive/forward_monitor/monitor-report-2026-09-01.json
formal:2026-08-25:603408.SH:selected,603408.SH,建霖家居,2026-08-26,2026-09-01,5,D5,copied_live_archive,supported,up,strengthened,overheated,historical_not_applied,local_archive/forward_monitor/snapshot-2026-09-01.json,local_archive/forward_monitor/monitor-report-2026-09-01.json
formal:2026-08-26:300082.SZ:selected,300082.SZ,奥克股份,2026-08-27,2026-09-01,4,,backfill,supported,up,strengthened,continuation_possible,historical_not_applied,local_archive/forward_monitor/snapshot-2026-09-01.json,
formal:2026-08-26:300107.SZ:selected,300107.SZ,建新股份,2026-08-27,2026-09-01,4,,copied_live_archive,supported,up,strengthened,overheated,historical_not_applied,local_archive/forward_monitor/snapshot-2026-09-01.json,local_archive/forward_monitor/monitor-report-2026-09-01.json
formal:2026-08-26:301289.SZ:selected,301289.SZ,国缆检测,2026-08-27,2026-09-01,4,,backfill,weakening,down,unchanged,weakening,historical_not_applied,local_archive/forward_monitor/snapshot-2026-09-01.json,
formal:2026-08-26:603993.SH:selected,603993.SH,洛阳钼业,2026-08-27,2026-09-01,4,,backfill,partly_supported,sideways,strengthened,range_or_wait,historical_not_applied,local_archive/forward_monitor/snapshot-2026-09-01.json,
formal:2026-08-27:000655.SZ:selected,000655.SZ,金岭矿业,2026-08-28,2026-09-01,3,D3,copied_live_archive,partly_supported,up,strengthened,range_or_wait,historical_not_applied,local_archive/forward_monitor/snapshot-2026-09-01.json,local_archive/forward_monitor/monitor-report-2026-09-01.json
formal:2026-08-27:000801.SZ:selected,000801.SZ,四川九洲,2026-08-28,2026-09-01,3,D3,copied_live_archive,partly_supported,up,weakened,strengthening,historical_not_applied,local_archive/forward_monitor/snapshot-2026-09-01.json,local_archive/forward_monitor/monitor-report-2026-09-01.json
formal:2026-08-27:003816.SZ:selected,003816.SZ,中国广核,2026-08-28,2026-09-01,3,D3,backfill,supported,up,unchanged,continuation_possible,historical_not_applied,local_archive/forward_monitor/snapshot-2026-09-01.json,
formal:2026-08-28:000928.SZ:selected,000928.SZ,中钢国际,2026-08-31,2026-09-01,2,,backfill,supported,up,unchanged,continuation_possible,historical_not_applied,local_archive/forward_monitor/snapshot-2026-09-01.json,
formal:2026-08-28:002430.SZ:selected,002430.SZ,杭氧股份,2026-08-31,2026-09-01,2,,backfill,supported,up,unchanged,continuation_possible,historical_not_applied,local_archive/forward_monitor/snapshot-2026-09-01.json,
formal:2026-08-28:300910.SZ:selected,300910.SZ,瑞丰新材,2026-08-31,2026-09-01,2,,backfill,supported,up,unchanged,continuation_possible,historical_not_applied,local_archive/forward_monitor/snapshot-2026-09-01.json,
formal:2026-08-31:002440.SZ:selected,002440.SZ,闰土股份,2026-09-01,2026-09-01,1,D1,backfill,supported,up,first_review,continuation_possible,historical_not_applied,local_archive/forward_monitor/snapshot-2026-09-01.json,
formal:2026-08-31:300170.SZ:selected,300170.SZ,汉得信息,2026-09-01,2026-09-01,1,D1,backfill,supported,up,first_review,continuation_possible,historical_not_applied,local_archive/forward_monitor/snapshot-2026-09-01.json,
v4-replay-2026-08-20:2026-08-20:300832.SZ:selected,300832.SZ,新产业,2026-08-21,2026-09-01,8,,backfill,contradicted,down,unchanged,invalidated,historical_not_applied,local_archive/forward_monitor/snapshot-2026-09-01.json,
v4-replay-2026-08-20:2026-08-20:603969.SH:selected,603969.SH,银龙股份,2026-08-21,2026-09-01,8,,backfill,supported,up,unchanged,continuation_possible,historical_not_applied,local_archive/forward_monitor/snapshot-2026-09-01.json,
formal:2026-08-21:600583.SH:selected,600583.SH,海油工程,2026-08-24,2026-09-02,8,,live,weakening,sideways,weakened,weakening,keep_active_tracking,local_archive/forward_monitor/snapshot-2026-09-02.json,local_archive/forward_monitor/monitor-report-2026-09-02.json
formal:2026-08-21:600980.SH:selected,600980.SH,北矿科技,2026-08-24,2026-09-02,8,,live,partly_supported,down,unchanged,weakening,keep_active_tracking,local_archive/forward_monitor/snapshot-2026-09-02.json,
formal:2026-08-24:000690.SZ:selected,000690.SZ,宝新能源,2026-08-25,2026-09-02,7,,live,partly_supported,sideways,unchanged,range_or_wait,keep_active_tracking,local_archive/forward_monitor/snapshot-2026-09-02.json,
formal:2026-08-24:601998.SH:selected,601998.SH,中信银行,2026-08-25,2026-09-02,7,,live,supported,up,unchanged,continuation_possible,keep_active_tracking,local_archive/forward_monitor/snapshot-2026-09-02.json,
formal:2026-08-25:002274.SZ:selected,002274.SZ,华昌化工,2026-08-26,2026-09-02,6,,live,insufficient_evidence,not_evaluable,unchanged,event_pending,stop_active_tracking,local_archive/forward_monitor/snapshot-2026-09-02.json,local_archive/forward_monitor/monitor-report-2026-09-02.json
formal:2026-08-25:300473.SZ:selected,300473.SZ,德尔股份,2026-08-26,2026-09-02,6,,live,supported,up,unchanged,continuation_possible,keep_active_tracking,local_archive/forward_monitor/snapshot-2026-09-02.json,
formal:2026-08-25:603408.SH:selected,603408.SH,建霖家居,2026-08-26,2026-09-02,6,,live,supported,up,unchanged,continuation_possible,keep_active_tracking,local_archive/forward_monitor/snapshot-2026-09-02.json,local_archive/forward_monitor/monitor-report-2026-09-02.pre-daily-simple-eight-rerun-2026-09-03.json
formal:2026-08-26:300082.SZ:selected,300082.SZ,奥克股份,2026-08-27,2026-09-02,5,D5,live,weakening,down,weakened,weakening,keep_active_tracking,local_archive/forward_monitor/snapshot-2026-09-02.json,local_archive/forward_monitor/monitor-report-2026-09-02.json
formal:2026-08-26:300107.SZ:selected,300107.SZ,建新股份,2026-08-27,2026-09-02,5,D5,live,partly_supported,up,weakened,range_or_wait,keep_active_tracking,local_archive/forward_monitor/snapshot-2026-09-02.json,local_archive/forward_monitor/monitor-report-2026-09-02.json
formal:2026-08-26:301289.SZ:selected,301289.SZ,国缆检测,2026-08-27,2026-09-02,5,D5,live,weakening,down,unchanged,weakening,keep_active_tracking,local_archive/forward_monitor/snapshot-2026-09-02.json,
formal:2026-08-26:603993.SH:selected,603993.SH,洛阳钼业,2026-08-27,2026-09-02,5,D5,live,contradicted,down,invalidated,invalidated,stop_active_tracking,local_archive/forward_monitor/snapshot-2026-09-02.json,local_archive/forward_monitor/monitor-report-2026-09-02.json
formal:2026-08-27:000655.SZ:selected,000655.SZ,金岭矿业,2026-08-28,2026-09-02,4,,live,partly_supported,sideways,unchanged,range_or_wait,keep_active_tracking,local_archive/forward_monitor/snapshot-2026-09-02.json,
formal:2026-08-27:000801.SZ:selected,000801.SZ,四川九洲,2026-08-28,2026-09-02,4,,live,partly_supported,up,unchanged,continuation_possible,keep_active_tracking,local_archive/forward_monitor/snapshot-2026-09-02.json,local_archive/forward_monitor/monitor-report-2026-09-02.pre-daily-simple-eight-rerun-2026-09-03.json
formal:2026-08-27:003816.SZ:selected,003816.SZ,中国广核,2026-08-28,2026-09-02,4,,live,supported,up,unchanged,strengthening,keep_active_tracking,local_archive/forward_monitor/snapshot-2026-09-02.json,local_archive/forward_monitor/monitor-report-2026-09-02.pre-daily-simple-eight-rerun-2026-09-03.json
formal:2026-08-28:000928.SZ:selected,000928.SZ,中钢国际,2026-08-31,2026-09-02,3,D3,live,supported,up,unchanged,continuation_possible,keep_active_tracking,local_archive/forward_monitor/snapshot-2026-09-02.json,
formal:2026-08-28:002430.SZ:selected,002430.SZ,杭氧股份,2026-08-31,2026-09-02,3,D3,live,supported,sideways,unchanged,range_or_wait,keep_active_tracking,local_archive/forward_monitor/snapshot-2026-09-02.json,
formal:2026-08-28:300910.SZ:selected,300910.SZ,瑞丰新材,2026-08-31,2026-09-02,3,D3,live,supported,up,unchanged,continuation_possible,keep_active_tracking,local_archive/forward_monitor/snapshot-2026-09-02.json,
formal:2026-08-31:002440.SZ:selected,002440.SZ,闰土股份,2026-09-01,2026-09-02,2,,live,weakening,down,weakened,weakening,keep_active_tracking,local_archive/forward_monitor/snapshot-2026-09-02.json,local_archive/forward_monitor/monitor-report-2026-09-02.json
formal:2026-08-31:300170.SZ:selected,300170.SZ,汉得信息,2026-09-01,2026-09-02,2,,live,weakening,down,weakened,weakening,keep_active_tracking,local_archive/forward_monitor/snapshot-2026-09-02.json,local_archive/forward_monitor/monitor-report-2026-09-02.json
formal:2026-09-01:601038.SH:selected,601038.SH,一拖股份,2026-09-02,2026-09-02,1,D1,live,partly_supported,down,first_review,range_or_wait,keep_active_tracking,local_archive/forward_monitor/snapshot-2026-09-02.json,local_archive/forward_monitor/monitor-report-2026-09-02.pre-daily-simple-eight-rerun-2026-09-03.json
v4-replay-2026-08-20:2026-08-20:300832.SZ:selected,300832.SZ,新产业,2026-08-21,2026-09-02,9,,live,contradicted,down,unchanged,invalidated,stop_active_tracking,local_archive/forward_monitor/snapshot-2026-09-02.json,local_archive/forward_monitor/monitor-report-2026-09-02.json
v4-replay-2026-08-20:2026-08-20:603969.SH:selected,603969.SH,银龙股份,2026-08-21,2026-09-02,9,,live,supported,up,unchanged,range_or_wait,keep_active_tracking,local_archive/forward_monitor/snapshot-2026-09-02.json,
